INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,SIEMENS   ,27/01/2026,00003133.00,00003146.40,00003099.70,00003137.90,000000002485175,      970739437.50,           310625,             1775,             1567
FUTSTK    ,SIEMENS   ,24/02/2026,00003147.10,00003158.20,00003111.80,00003149.50,000000000096600,       69704880.00,            22225,              127,              115
FUTSTK    ,SIEMENS   ,30/03/2026,00003167.40,00003170.00,00003140.00,00003140.00,000000000004550,        3311525.00,             1050,              006,              006
FUTSTK    ,SONACOMS  ,27/01/2026,00000475.95,00000480.60,00000472.10,00000475.05,000000014555450,      628593560.00,          1320550,             1078,              925
FUTSTK    ,SONACOMS  ,24/02/2026,00000477.45,00000482.00,00000473.55,00000476.40,000000000377300,       62645397.50,           131075,              107,              097
FUTSTK    ,SONACOMS  ,30/03/2026,00000484.35,00000484.35,00000476.50,00000478.95,000000000019600,       14693630.00,            30625,              025,              017
FUTSTK    ,SRF       ,27/01/2026,00003066.00,00003111.20,00003045.00,00003104.40,000000003416400,     1784171540.00,           576600,             2883,             2408
FUTSTK    ,SRF       ,24/02/2026,00003058.40,00003125.70,00003058.40,00003118.40,000000000046800,       42258380.00,            13600,              068,              066
FUTSTK    ,SRF       ,30/03/2026,00003110.00,00003132.00,00003110.00,00003132.00,000000000004200,        6860660.00,             2200,              011,              011
FUTSTK    ,SUNPHARMA ,27/01/2026,00001765.20,00001810.00,00001753.70,00001785.70,000000017288950,    10110756390.00,          5674200,            16212,            13100
FUTSTK    ,SUNPHARMA ,24/02/2026,00001760.00,00001809.20,00001755.70,00001785.00,000000000245700,      379519735.00,           213150,              609,              550
FUTSTK    ,SUNPHARMA ,30/03/2026,00001781.00,00001813.70,00001777.00,00001797.20,000000000024150,       35153895.00,            19600,              056,              050
FUTSTK    ,SUPREMEIND,27/01/2026,00003649.60,00003658.80,00003598.20,00003633.70,000000001878100,     1319140830.00,           363475,             2077,             1849
FUTSTK    ,SUPREMEIND,24/02/2026,00003637.20,00003671.00,00003605.50,00003645.70,000000000061250,       48484187.50,            13300,              076,              074
FUTSTK    ,SUPREMEIND,30/03/2026,00003674.30,00003685.00,00003672.30,00003680.70,000000000005600,        5146382.50,             1400,              008,              008
FUTSTK    ,SUZLON    ,27/01/2026,00000053.75,00000053.92,00000052.90,00000053.17,000000290893800,     1965658898.50,         36822000,             4080,             2796
FUTSTK    ,SUZLON    ,24/02/2026,00000053.86,00000054.25,00000053.25,00000053.47,000000024593125,      615902731.75,         11425650,             1266,              427
FUTSTK    ,SUZLON    ,30/03/2026,00000054.44,00000054.52,00000053.60,00000053.80,000000001254475,       20948108.00,           388075,              043,              043
FUTSTK    ,SWIGGY    ,27/01/2026,00000364.00,00000366.45,00000359.60,00000363.10,000000016688100,     2414246185.00,          6652100,             5117,             4350
FUTSTK    ,SWIGGY    ,24/02/2026,00000364.65,00000365.75,00000359.30,00000362.80,000000000361400,      128617515.00,           354900,              273,              257
FUTSTK    ,SWIGGY    ,30/03/2026,00000365.00,00000365.95,00000360.00,00000363.30,000000000145600,       10831990.00,            29900,              023,              023
FUTSTK    ,SYNGENE   ,27/01/2026,00000659.00,00000681.95,00000653.50,00000658.20,000000008674000,     4265259850.00,          6403000,             6403,             5623
FUTSTK    ,SYNGENE   ,24/02/2026,00000664.80,00000685.00,00000657.40,00000662.25,000000000177000,      204527550.00,           305000,              305,              295
FUTSTK    ,SYNGENE   ,30/03/2026,00000685.00,00000687.00,00000662.00,00000666.70,000000000032000,       28932450.00,            43000,              043,              042
FUTSTK    ,CAMS      ,27/01/2026,00000749.75,00000766.85,00000749.75,00000757.95,000000007275000,      918067537.50,          1210500,             1614,             1381
FUTSTK    ,CAMS      ,24/02/2026,00000754.40,00000767.50,00000753.90,00000759.35,000000000476250,       90619575.00,           119250,              159,              136
FUTSTK    ,CAMS      ,30/03/2026,00000766.25,00000769.75,00000757.65,00000760.00,000000000021750,        6870112.50,             9000,              012,              012
FUTSTK    ,CANBK     ,27/01/2026,00000154.40,00000156.41,00000151.63,00000152.85,000000143714250,     8361504855.00,         54276750,             8041,             6693
FUTSTK    ,CANBK     ,24/02/2026,00000155.15,00000156.90,00000152.26,00000153.41,000000007512750,      726650865.00,          4704750,              697,              645
FUTSTK    ,CANBK     ,30/03/2026,00000156.03,00000157.73,00000153.01,00000154.13,000000001242000,       72273195.00,           465750,              069,              066
FUTSTK    ,CDSL      ,27/01/2026,00001455.80,00001487.20,00001452.20,00001482.80,000000010191600,     2352999567.50,          1592200,             3352,             2918
FUTSTK    ,CDSL      ,24/02/2026,00001460.60,00001494.10,00001460.60,00001490.50,000000000691600,      224936392.50,           151525,              319,              305
FUTSTK    ,CDSL      ,30/03/2026,00001481.00,00001500.00,00001481.00,00001498.60,000000000044175,       31887652.50,            21375,              045,              043
FUTSTK    ,CGPOWER   ,27/01/2026,00000644.00,00000644.95,00000637.50,00000638.65,000000015632350,     1163157382.50,          1816450,             2137,             1601
FUTSTK    ,CGPOWER   ,24/02/2026,00000647.55,00000648.45,00000641.25,00000642.05,000000000536350,       86481082.50,           134300,              158,              152
FUTSTK    ,CGPOWER   ,30/03/2026,00000648.00,00000651.85,00000645.90,00000645.95,000000000039100,        5507277.50,             8500,              010,              010
FUTSTK    ,CHOLAFIN  ,27/01/2026,00001808.80,00001808.80,00001786.00,00001794.70,000000011104375,     2067490000.00,          1151875,             1843,             1649
FUTSTK    ,CHOLAFIN  ,24/02/2026,00001835.10,00001835.10,00001787.00,00001798.10,000000000178125,      122387687.50,            68125,              109,              105
FUTSTK    ,CHOLAFIN  ,30/03/2026,00001802.00,00001804.90,00001790.00,00001801.40,000000000022500,       11240187.50,             6250,              010,              010
FUTSTK    ,CIPLA     ,27/01/2026,00001527.00,00001527.00,00001460.10,00001471.60,000000013424250,     9313617600.00,          6268875,            16717,            14332
FUTSTK    ,CIPLA     ,24/02/2026,00001535.10,00001535.10,00001468.60,00001480.10,000000000318000,      656268675.00,           439875,             1173,             1114
FUTSTK    ,CIPLA     ,30/03/2026,00001542.00,00001542.00,00001479.30,00001490.40,000000000067500,      122241300.00,            81375,              217,              193
