TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2018-04-16,FUTSTK,ICICIBANK,2018-06-28,287.05,288.8,286.6,286.6,167750.0,10280325.0,35750.0,13.0,13.0,
2018-04-17,FUTSTK,ICICIBANK,2018-04-26,287.0,293.0,286.95,291.4,79752750.0,9960350400.0,34281500.0,12466.0,11248.0,
2018-04-17,FUTSTK,ICICIBANK,2018-05-31,288.3,293.55,288.2,291.95,2854500.0,380223387.5,1306250.0,475.0,432.0,
2018-04-17,FUTSTK,ICICIBANK,2018-06-28,288.5,291.65,287.8,291.65,159500.0,14362837.5,49500.0,18.0,18.0,
2018-04-18,FUTSTK,ICICIBANK,2018-04-26,292.95,294.7,288.6,289.65,79147750.0,10265791662.5,35224750.0,12809.0,11572.0,
2018-04-18,FUTSTK,ICICIBANK,2018-05-31,293.75,295.15,289.5,290.4,3225750.0,512542250.0,1754500.0,638.0,587.0,
2018-04-18,FUTSTK,ICICIBANK,2018-06-28,290.3,294.0,289.8,292.2,156750.0,5608350.0,19250.0,7.0,7.0,
2018-04-19,FUTSTK,ICICIBANK,2018-04-26,291.2,291.2,287.05,289.5,77228250.0,6017125812.5,20834000.0,7576.0,6842.0,
2018-04-19,FUTSTK,ICICIBANK,2018-05-31,291.7,291.7,288.1,290.5,4281750.0,699889162.5,2417250.0,879.0,581.0,
2018-04-19,FUTSTK,ICICIBANK,2018-06-28,289.9,290.35,287.55,289.4,173250.0,14292025.0,49500.0,18.0,18.0,
2018-04-20,FUTSTK,ICICIBANK,2018-04-26,289.2,290.0,280.3,283.0,73515750.0,8869308387.5,31165750.0,11333.0,10044.0,
2018-04-20,FUTSTK,ICICIBANK,2018-05-31,290.25,290.85,281.55,284.4,6261750.0,1703253200.0,5967500.0,2170.0,1817.0,
